rung  WNS      delta   worst startpoint -> endpoint
  20   -1.720  +0.015   DcachePlugin_logic_missCmode_reg[1]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  21   -1.716  +0.004   RobPlugin_logic_doFlushReg_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  22   -1.716  +0.000   FetchAlignPlugin_logic_ftqHead_reg[0]/C -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  23   -1.689  +0.027   FtbPlugin_logic_rspPayload_framedOk_reg/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  24   -1.678  +0.011   FetchAlignPlugin_logic_resultExpectedSlot_reg[0]/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  25   -1.664  +0.014   DcachePlugin_logic_tagMem_2_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  26   -1.644  +0.020   _zz_DecodeStage_logic_fed_payload_packets_0_words_1_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  27   -1.632  +0.012   DcachePlugin_logic_tagMem_3_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  28   -1.625  +0.007   FetchAlignPlugin_logic_ibuf/headPtr_reg[0]_rep/C -> FetchAlignPlugin_logic_predictPending_reg/D
  29   -1.613  +0.012   FetchAlignPlugin_logic_ibuf/headPtr_reg[1]_rep__0/C -> FetchAlignPlugin_logic_predictPending_reg/D
  30   -1.602  +0.011   DecodeStage_logic_ucPendPkt_words_0_reg[1]/C -> DecodeStage_logic_ucRomMem_spinal_port0_reg[44]/D
  31   -1.596  +0.006   FetchAlignPlugin_logic_predictPending_reg/C -> IcachePlugin_logic_s1PredEntries_3_reg[18]/CE
  32   -1.591  +0.005   DcachePlugin_logic_stS3Payload_cacheMode_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  33   -1.590  +0.001   DcachePlugin_logic_tagMem_0_reg/CLKARDCLK -> DcachePlugin_logic_valids_0_30_reg/D
  34   -1.588  +0.002   DcachePlugin_logic_stS3Hit_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  35   -1.581  +0.007   RobPlugin_logic_exc_fsm_stateReg_reg[4]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
  36   -1.579  +0.002   LsEuPlugin_logic_p3Ctx_paddr_reg[6]/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
  37   -1.572  +0.007   DcachePlugin_logic_tagMem_1_reg/CLKARDCLK -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  38   -1.566  +0.006   _zz_DecodeStage_logic_fed_payload_specs_0_srcEa_base_reg[0]/C -> FetchAlignPlugin_logic_predictPending_reg/D
  39   -1.562  +0.004   DcachePlugin_logic_valids_3_75_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
